¿Acostumbras a pedir por delivery?;;;;;;;
SI;42,3%;;;;;;
A VECES;35,6%;;;;;;
NO;22,1%;;;;;;
;;;;;;;
;;;;;;;
¿Qué pides a traves de delivery?;;;;;;;
Comida rapida;;;71,6%;;;;
Productos de supermercado;;;32,1%;;;;
medicamentos;;;5,7%;;;;
otro;;;;;;;
;;;;;;;
;;;;;;;
¿Con qué frecuencia utilizas servicios de delivery para recibir productos o comida?;;;;;;;
Una vez al mes ;;;36,9%;;;;
Una vez a la semana;;;21,9%;;;;
Más de una vez a la semana;;;11,0%;;;;
Otro;;;8,2%;;;;
;;;;;;;
;;;;;;;
¿A qué hora acostumbras a pedir delivery?;;;;;;;
En la noche (18:00-22:00 pm).;;;;51,7%;;;
 A la hora de almuerzo (12:00- 14:00 pm);;;;20,7%;;;
 En la mañana (08:00 – 11:00 am);;;;4,7%;;;
De madrugada;;;;0,9%;;;
;;;;;;;
;;;;;;;
;;;;;;;
¿Qué día de la semana pides delivery?;;;;;;;
Viernes;50,7%;;;;;;
Sábados;49,2%;;;;;;
Domingo;24,6%;;;;;;
Jueves;16,1%;;;;;;
Miercoles;17,0%;;;;;;
Lunes;13,9%;;;;;;
Martes;12,3%;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
¿Qué tipo de comida rápida pides por delivery?;;;;;;;
Sushi;;         48,5% ;;;;;
Pizza;;47,80%;;;;;
Hamburguesa;;        36,5%;;;;;
Papas fritas;;         23,4%;;;;;
Completos;;        15,7%;;;;;
Otro;;        10,7%;;;;;
Comida saludable;;           8,2%;;;;;
No compra;;           2,0%;;;;;
;;;;;;;
;;;;;;;
¿Qué factores son más importantes para ti al elegir un servicio de delivery?;;;;;;;
Precio;;;58,0%;;;;
Calidad del producto;;;49,3%;;;;
Velocidad de entrega;;;39,2%;;;;
Amabilidad del repartidor ;;;15,2%;;;;
Otra opción;;;3,5%;;;;
;;;;;;;
;;;;;;;
¿Por qué eliges comprar por delivery?;;;;;;;
Es más comodo;;59,7%;;;;;
Es más rápido;;29,0%;;;;;
Es más economico;;12,7%;;;;;
No tener otra opción;;4,4%;;;;;
Otro;;3,6%;;;;;
;;;;;;;
;;;;;;;
¿Cuál es tu aplicación de delivery preferida?;;;;;;;
Pedidos Ya;34,4%;;;;;;
Uber Eats;23,9%;;;;;;
Otra ;13,9%;;;;;;
Rappi;5,6%;;;;;;
Glovo;0,2%;;;;;;
;;;;;;;
;;;;;;;
¿Qué te motivaría a comprar más por delivery?;;;;;;;
Envio gratis;;;;52,5%;;;
Más descuentos;;;;48,9%;;;
Envios más rapidos;;;;21,9%;;;
Pedir de más de un local en un pedido;;;;11,6%;;;
Más higiene;;;;6,1%;;;
Otro;;;;4,2%;;;
